id,name,abbreviation
312,Vila Nova de Famalicão,V.N. Famalicão
617,Vila Nova de Poiares,V.N. Poiares
914,Vila Nova de Foz Côa,V.N. Foz Côa
1317,Vila Nova de Gaia,V.N. Gaia
1420,Vila Nova da Barquinha,V.N. Barquinha
1610,Vila Nova de Cerveira,V.N. Cerveira
1822,Vila Nova de Paiva,V.N. Paiva
PT3,Região Autónoma da Madeira,R.A. Madeira
PT2,Região Autónoma dos Açores,R.A. Açores
PT17,Área Metropolitana de Lisboa, AM Lisboa
PT30,Região Autónoma da Madeira,R.A. Madeira
PT20,Região Autónoma dos Açores,R.A. Açores
PT11A,Área Metropolitana do Porto, AM Porto
PT170,Área Metropolitana de Lisboa, AM Lisboa
PT300,Região Autónoma da Madeira,R.A. Madeira
PT200,Região Autónoma dos Açores,R.A. Açores
