concelho_name,concelho,distrito_name,distrito,nut1_name,nut1,nut2_name,nut2,nut3_name,nut3
Águeda,101,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Albergaria-a-Velha,102,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Anadia,103,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Arouca,104,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Aveiro,105,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Castelo de Paiva,106,Aveiro,1,Continente,PT1,Norte,PT11,Tâmega e Sousa,PT11C
Espinho,107,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Estarreja,108,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Santa Maria da Feira,109,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Ílhavo,110,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Mealhada,111,Aveiro,1,Continente,PT1,Centro,PT16,Região de Coimbra,PT16E
Murtosa,112,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Oliveira de Azeméis,113,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Oliveira do Bairro,114,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Ovar,115,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
São João da Madeira,116,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Sever do Vouga,117,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Vagos,118,Aveiro,1,Continente,PT1,Centro,PT16,Região de Aveiro,PT16D
Vale de Cambra,119,Aveiro,1,Continente,PT1,Norte,PT11,Área Metropolitana do Porto,PT11A
Aljustrel,201,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Almodôvar,202,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Alvito,203,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Barrancos,204,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Beja,205,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Castro Verde,206,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Cuba,207,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Ferreira do Alentejo,208,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Mértola,209,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Moura,210,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Odemira,211,Beja,2,Continente,PT1,Alentejo,PT18,Alentejo Litoral,PT181
Ourique,212,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Serpa,213,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Vidigueira,214,Beja,2,Continente,PT1,Alentejo,PT18,Baixo Alentejo,PT184
Amares,301,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Barcelos,302,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Braga,303,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Cabeceiras de Basto,304,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Celorico de Basto,305,Braga,3,Continente,PT1,Norte,PT11,Tâmega e Sousa,PT11C
Esposende,306,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Fafe,307,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Guimarães,308,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Póvoa de Lanhoso,309,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Terras de Bouro,310,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Vieira do Minho,311,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Vila Nova de Famalicão,312,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Vila Verde,313,Braga,3,Continente,PT1,Norte,PT11,Cávado,PT112
Vizela,314,Braga,3,Continente,PT1,Norte,PT11,Ave,PT119
Alfândega da Fé,401,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Bragança,402,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Carrazeda de Ansiães,403,Bragança,4,Continente,PT1,Norte,PT11,Douro,PT11D
Freixo de Espada À Cinta,404,Bragança,4,Continente,PT1,Norte,PT11,Douro,PT11D
Macedo de Cavaleiros,405,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Miranda do Douro,406,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Mirandela,407,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Mogadouro,408,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Torre de Moncorvo,409,Bragança,4,Continente,PT1,Norte,PT11,Douro,PT11D
Vila Flor,410,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Vimioso,411,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Vinhais,412,Bragança,4,Continente,PT1,Norte,PT11,Terras de Trás-os-Montes,PT11E
Belmonte,501,Castelo Branco,5,Continente,PT1,Centro,PT16,Beiras e Serra da Estrela,PT16J
Castelo Branco,502,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Covilhã,503,Castelo Branco,5,Continente,PT1,Centro,PT16,Beiras e Serra da Estrela,PT16J
Fundão,504,Castelo Branco,5,Continente,PT1,Centro,PT16,Beiras e Serra da Estrela,PT16J
Idanha-a-Nova,505,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Oleiros,506,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Penamacor,507,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Proença-a-Nova,508,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Sertã,509,Castelo Branco,5,Continente,PT1,Centro,PT16,Médio Tejo,PT16I
Vila de Rei,510,Castelo Branco,5,Continente,PT1,Centro,PT16,Médio Tejo,PT16I
Vila Velha de Ródão,511,Castelo Branco,5,Continente,PT1,Centro,PT16,Beira Baixa,PT16H
Arganil,601,Coimbra,6,Continente,PT1,Centro,PT16,Região de Coimbra,PT16E
Cantanhede,602,Coimbra,6,Continente,PT1,Centro,PT16,Região de Coimbra,PT16E
