dico,indicator,name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
101,dormidas,Águeda,31241,25220,23368,20186,18904,10906,13684,22262,20688,17917,17728,15120
102,dormidas,Albergaria-a-Velha,17865,17673,12708,13333,11975,10573,8968,10423,12681,11241,11728,
103,dormidas,Anadia,73745,69798,64898,63083,54224,56305,61873,73257,72925,55113,66171,66119
104,dormidas,Arouca,12049,12178,8979,,8963,,,,,,,
105,dormidas,Aveiro,332683,284641,278438,226933,206901,183790,190587,194328,200873,192976,178899,142122
106,dormidas,Castelo de Paiva,21731,20307,20295,,18254,,,,,,,
107,dormidas,Espinho,125491,118528,102472,91368,79250,76733,86356,,,90567,,104944
108,dormidas,Estarreja,20887,20334,,,15218,,,,,,,
109,dormidas,Santa Maria da Feira,76944,70349,62250,55612,50008,,40176,44059,46163,47292,50521,43535
110,dormidas,Ílhavo,75724,64799,35612,32704,29948,28230,30975,32568,33937,33217,29364,26009
111,dormidas,Mealhada,107286,91911,89582,78790,76016,68205,64652,64953,60091,67548,71503,72181
112,dormidas,Murtosa,21402,20151,16848,13908,13423,12412,11482,13461,15740,17442,17195,17585
113,dormidas,Oliveira de Azeméis,26116,25154,,,,,,,,,,
114,dormidas,Oliveira do Bairro,8457,6952,,,,,,,,,12525,8455
115,dormidas,Ovar,82864,72469,66508,55941,53849,46408,46355,45355,37858,37441,43500,34794
116,dormidas,São João da Madeira,45362,48251,39261,35733,32717,34085,34175,,33196,24326,,
117,dormidas,Sever do Vouga,5235,,4608,,,,,,,,,
118,dormidas,Vagos,10948,,,,,,,,,,,
119,dormidas,Vale de Cambra,9971,13957,11619,12522,7126,6059,4963,4410,4008,,5165,1559
201,dormidas,Aljustrel,11066,10182,10874,6643,5942,,,,,,,
202,dormidas,Almodôvar,2613,2489,2932,,4161,,,,,,,
203,dormidas,Alvito,6191,,4838,,5026,,,,,,,
204,dormidas,Barrancos,,,,,618,556,674,1390,1703,,,
205,dormidas,Beja,122330,111039,109676,99271,100723,83574,92743,98324,97789,106269,105787,45829
206,dormidas,Castro Verde,15786,13890,12790,,12862,,,,,,,
207,dormidas,Cuba,,12445,,,,,,,,,,
208,dormidas,Ferreira do Alentejo,11046,10551,11010,9181,3411,4159,4253,5566,4619,3905,2561,2546
209,dormidas,Mértola,34331,23882,16166,14599,12079,,,,,,,
210,dormidas,Moura,30534,26216,23595,21888,21293,,26113,25591,24946,24675,19078,
211,dormidas,Odemira,121520,94102,86972,58592,95867,47737,52733,43701,50455,57901,64615,67307
212,dormidas,Ourique,7468,6538,,,,,,,,,,
213,dormidas,Serpa,6544,5752,6079,7687,17536,6995,,11219,10086,10647,11089,9260
214,dormidas,Vidigueira,6032,7604,9375,,7701,,,,,,,
301,dormidas,Amares,27089,23940,23469,19583,20825,19086,22454,26207,23147,23945,27568,30917
302,dormidas,Barcelos,33987,31113,31174,,29382,22128,23992,25747,22425,20096,8919,8765
303,dormidas,Braga,523604,482763,411197,357356,293274,285904,285799,262965,269316,263372,263946,227684
304,dormidas,Cabeceiras de Basto,,,,,1528,,,,,,,
305,dormidas,Celorico de Basto,194,,,,4242,,,,,,,
306,dormidas,Esposende,123006,105434,85985,71872,79064,69526,80673,84154,119982,127410,141090,139408
307,dormidas,Fafe,21437,20353,20925,17165,14038,,,,,,,
308,dormidas,Guimarães,300045,246866,216370,207034,178429,208331,150190,150294,150584,148565,160015,131435
309,dormidas,Póvoa de Lanhoso,1151,859,904,,9304,,,,,,,
310,dormidas,Terras de Bouro,129022,109517,80366,66733,65056,57800,59145,63517,73811,74451,58711,55017
311,dormidas,Vieira do Minho,21616,20120,19160,17284,22645,14738,14731,14564,16389,12306,11481,14373
312,dormidas,Vila Nova de Famalicão,27894,20354,17909,14484,13129,13630,17137,19621,20681,21751,21392,24418
313,dormidas,Vila Verde,13335,10646,5457,,9617,6141,7946,7776,7033,8675,8841,6775
314,dormidas,Vizela,,,,,192,,,,,,,
401,dormidas,Alfândega da Fé,7374,9729,11485,14080,14113,,,,,,,
402,dormidas,Bragança,82017,83509,67193,57741,74345,65813,79052,86168,79456,83664,84673,79085
403,dormidas,Carrazeda de Ansiães,7895,4091,2771,,3929,,,,,,,
404,dormidas,Freixo de Espada à Cinta,2386,2521,2210,,3440,,,,,,,
405,dormidas,Macedo de Cavaleiros,8653,6122,9396,7209,3551,,,,,4262,5255,6078
406,dormidas,Miranda do Douro,23249,23598,20681,16105,17197,18029,25870,26416,24967,21816,22746,20694
407,dormidas,Mirandela,37368,28366,30776,28077,28251,33699,43600,48662,39976,43976,40318,39273
408,dormidas,Mogadouro,,1230,658,2086,4580,2523,4139,,,4122,3979,4260
409,dormidas,Torre de Moncorvo,,,624,,4602,,,,,,20131,18123
410,dormidas,Vila Flor,2207,3020,3077,,5173,,,357,,,,
411,dormidas,Vimioso,,865,617,,1292,,,,,,,
412,dormidas,Vinhais,7239,7453,318,,,,,,,,,
501,dormidas,Belmonte,22201,20747,14672,,14297,,,,,,,
502,dormidas,Castelo Branco,74255,68693,66455,52543,54908,57541,65423,71444,76355,,,74766
503,dormidas,Covilhã,249528,261646,212506,204796,196463,,174115,183731,,171677,153573,123405
504,dormidas,Fundão,89929,77443,66254,59558,67151,,,,58846,,,41454
505,dormidas,Idanha-a-Nova,26731,24733,21934,28131,39370,38679,45295,49948,48857,47926,52370,50916
506,dormidas,Oleiros,6384,6642,6850,,4838,,,,,,,
507,dormidas,Penamacor,12588,,,,,,,,,,,
508,dormidas,Proença-a-Nova,6944,,,,,,,,,,,
509,dormidas,Sertã,46024,41718,38743,27085,24821,,,,,12865,,14475
510,dormidas,Vila de Rei,1319,2237,3534,,,,,,,,,
511,dormidas,Vila Velha de Ródão,2786,,,570,413,,,,,,,
601,dormidas,Arganil,21936,25335,23874,19911,19784,17330,,,,,,10599
602,dormidas,Cantanhede,32267,27453,26674,,,,34582,31408,34715,,,32573
603,dormidas,Coimbra,636152,570766,523452,474962,401868,381854,396396,365465,322054,346160,355730,347644
604,dormidas,Condeixa-a-Nova,10869,8294,8036,,,,,,,,,
605,dormidas,Figueira da Foz,322338,285517,246345,175740,167178,167689,183963,192795,207356,210402,209037,198051
606,dormidas,Góis,2749,2542,2534,,,,,,,,,
607,dormidas,Lousã,20173,18792,17889,17256,15974,,,,,,,
608,dormidas,Mira,48888,44687,26758,23039,19280,25630,31889,36799,35158,35328,36758,32753
609,dormidas,Miranda do Corvo,13954,9478,2625,,,,,,,,,
610,dormidas,Montemor-o-Velho,19265,10170,6488,,,,,,,,,
611,dormidas,Oliveira do Hospital,18340,11537,8290,7877,20622,,,,,,,15526
612,dormidas,Pampilhosa da Serra,9192,9727,9316,,,,,,,,,
613,dormidas,Penacova,287,1047,311,,,,,,,,,
614,dormidas,Penela,18480,17968,,,,,,,,,,
615,dormidas,Soure,,,,,,,,,,,,
616,dormidas,Tábua,962,,,,3899,,,,,,,
617,dormidas,Vila Nova de Poiares,,2331,,,,,,,,,,
701,dormidas,Alandroal,820,1054,753,,3342,,,,,,,
702,dormidas,Arraiolos,17534,14416,11562,,8194,,,,,,,
703,dormidas,Borba,1373,1631,1516,2306,4272,,,,,,,
704,dormidas,Estremoz,37937,35436,31126,39643,35400,24863,37449,41698,35170,39766,42956,30470
705,dormidas,Évora,572279,506179,447826,366171,330149,309544,312696,303236,291207,269064,273857,253517
706,dormidas,Montemor-o-Novo,18738,17629,17142,15910,18580,,,,,,,13380
707,dormidas,Mora,2587,2140,2817,,3071,,,,784,,,
708,dormidas,Mourão,,,,,2022,,,,,,,
709,dormidas,Portel,807,1981,2430,108,,,,,,,,
