dico,name,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
101,Águeda,pop-residente,48568,48399,48223,47962,47787,47572,47371,47127,46885,46825
102,Albergaria-a-Velha,pop-residente,25090,25157,25223,25243,25282,25089,24907,24724,24580,24476
103,Anadia,pop-residente,30333,30067,29784,29496,29208,28958,28656,28345,28135,27993
104,Arouca,pop-residente,23232,23057,22839,22630,22380,22231,22002,21751,21528,21392
105,Aveiro,pop-residente,76681,77150,77584,78084,78463,78093,77675,77229,76935,76882
106,Castelo de Paiva,pop-residente,17165,17094,17017,16894,16756,16642,16432,16267,16120,15980
107,Espinho,pop-residente,32908,32707,32446,32149,31817,31439,30929,30418,30056,29708
108,Estarreja,pop-residente,27627,27518,27339,27177,27010,26878,26710,26555,26389,26338
109,Santa Maria da Feira,pop-residente,139298,139543,139550,139561,139404,140007,140066,140038,139610,139478
110,Ílhavo,pop-residente,38194,38322,38440,38542,38624,38556,38502,38410,38273,38367
111,Mealhada,pop-residente,20666,20671,20616,20539,20462,20388,20343,20255,20152,20160
112,Murtosa,pop-residente,10201,10322,10400,10517,10601,10533,10488,10437,10383,10407
113,Oliveira de Azeméis,pop-residente,70077,69895,69527,69150,68700,68568,68186,67756,67349,66978
114,Oliveira do Bairro,pop-residente,22308,22502,22698,22871,23029,23201,23356,23443,23467,23661
115,Ovar,pop-residente,55645,55607,55589,55538,55436,55244,55094,54919,54679,54607
116,São João da Madeira,pop-residente,21671,21727,21732,21756,21723,21749,21685,21625,21548,21449
117,Sever do Vouga,pop-residente,12769,12688,12601,12507,12391,12253,12125,12000,11908,11852
118,Vagos,pop-residente,22598,22685,22775,22824,22872,22910,22880,22897,22823,22905
119,Vale de Cambra,pop-residente,23815,23615,23372,23166,22906,22772,22558,22319,22123,21911
201,Aljustrel,pop-residente,9767,9637,9518,9389,9277,9146,9031,8915,8755,8589
202,Almodôvar,pop-residente,7773,7708,7606,7543,7459,7387,7311,7199,7087,6965
203,Alvito,pop-residente,2606,2589,2566,2535,2517,2527,2533,2557,2518,2485
204,Barrancos,pop-residente,1890,1875,1861,1853,1836,1807,1782,1768,1739,1717
205,Beja,pop-residente,35994,36040,35990,35974,35904,35616,35319,35024,34595,34148
206,Castro Verde,pop-residente,7471,7445,7409,7361,7289,7295,7290,7289,7223,7145
207,Cuba,pop-residente,4909,4912,4902,4905,4884,4898,4887,4867,4819,4757
208,Ferreira do Alentejo,pop-residente,8589,8523,8426,8352,8280,8253,8218,8199,8080,7976
209,Mértola,pop-residente,7887,7745,7580,7443,7304,7147,6978,6840,6681,6534
210,Moura,pop-residente,15791,15669,15509,15359,15176,15005,14809,14625,14425,14241
211,Odemira,pop-residente,26221,26218,26180,26151,26124,26010,25835,25704,25431,25135
212,Ourique,pop-residente,5788,5682,5576,5499,5421,5322,5221,5144,5026,4912
213,Serpa,pop-residente,16172,16097,15956,15836,15676,15570,15467,15374,15189,15005
214,Vidigueira,pop-residente,6039,6012,5985,5974,5939,5902,5844,5797,5722,5654
301,Amares,pop-residente,18909,18943,18937,18947,18901,18830,18709,18560,18417,18300
302,Barcelos,pop-residente,122156,121944,121534,121116,120458,120515,120084,119563,119011,118605
303,Braga,pop-residente,175928,177609,179020,180414,181481,182176,182110,181847,181553,181502
304,Cabeceiras de Basto,pop-residente,17315,17229,17094,16917,16739,16659,16520,16364,16235,16168
305,Celorico de Basto,pop-residente,20367,20338,20286,20229,20133,20087,19952,19795,19619,19485
306,Esposende,pop-residente,34168,34264,34314,34340,34289,34371,34286,34250,34125,34040
307,Fafe,pop-residente,52069,51771,51377,51095,50684,50576,50249,49945,49579,49351
308,Guimarães,pop-residente,160166,160011,159521,159010,158211,158048,157214,156310,155508,154920
309,Póvoa de Lanhoso,pop-residente,22460,22377,22193,22041,21896,21947,21889,21844,21743,21690
310,Terras de Bouro,pop-residente,7798,7681,7562,7426,7280,7141,7000,6857,6768,6655
311,Vieira do Minho,pop-residente,13796,13643,13449,13233,13021,12900,12719,12583,12441,12292
312,Vila Nova de Famalicão,pop-residente,132580,133182,133505,133796,133901,134206,133974,133711,133277,133028
313,Vila Verde,pop-residente,47873,47974,47981,48053,47974,47995,47901,47774,47546,47428
314,Vizela,pop-residente,23527,23627,23678,23731,23746,23860,23851,23861,23812,23802
401,Alfândega da Fé,pop-residente,5474,5393,5303,5224,5105,5035,4922,4845,4767,4688
402,Bragança,pop-residente,35323,35362,35392,35431,35394,35273,34983,34681,34341,34033
403,Carrazeda de Ansiães,pop-residente,6986,6852,6687,6551,6389,6297,6173,6063,5972,5885
404,Freixo de Espada à Cinta,pop-residente,3973,3941,3885,3845,3793,3736,3677,3622,3559,3492
405,Macedo de Cavaleiros,pop-residente,16600,16433,16239,16039,15806,15646,15426,15230,15075,14882
406,Miranda do Douro,pop-residente,7768,7730,7678,7592,7512,7458,7400,7303,7213,7138
407,Mirandela,pop-residente,24830,24613,24386,24158,23902,23669,23324,22962,22703,22419
408,Mogadouro,pop-residente,10285,10124,9904,9749,9565,9435,9247,9098,8952,8815
409,Torre de Moncorvo,pop-residente,9165,9027,8882,8748,8613,8497,8373,8220,8099,7975
410,Vila Flor,pop-residente,7260,7134,6970,6831,6713,6636,6531,6438,6341,6242
411,Vimioso,pop-residente,4951,4891,4830,4774,4701,4610,4518,4442,4363,4253
412,Vinhais,pop-residente,9784,9645,9463,9311,9098,8951,8764,8579,8424,8289
501,Belmonte,pop-residente,7195,7122,7036,6953,6877,6808,6723,6673,6576,6531
502,Castelo Branco,pop-residente,56165,56186,56177,56224,56218,55600,55005,54409,53840,53507
503,Covilhã,pop-residente,53219,52948,52615,52260,51901,51196,50486,49749,49187,48741
504,Fundão,pop-residente,30330,30121,29843,29588,29276,28940,28560,28200,27912,27714
505,Idanha-a-Nova,pop-residente,10579,10382,10187,10001,9764,9566,9339,9108,8895,8712
506,Oleiros,pop-residente,6119,6029,5936,5834,5747,5648,5544,5444,5360,5270
507,Penamacor,pop-residente,6118,6024,5911,5839,5733,5585,5443,5324,5203,5116
508,Proença-a-Nova,pop-residente,8907,8797,8648,8486,8343,8240,8116,7989,7839,7741
509,Sertã,pop-residente,16280,16220,16108,16019,15934,15770,15612,15422,15286,15165
510,Vila de Rei,pop-residente,3445,3465,3462,3470,3466,3470,3453,3450,3406,3392
511,Vila Velha de Ródão,pop-residente,3778,3705,3643,3586,3538,3495,3432,3382,3326,3282
601,Arganil,pop-residente,12829,12645,12498,12340,12183,12027,11851,11669,11522,11432
602,Cantanhede,pop-residente,37301,37179,37020,36898,36657,36571,36389,36234,35967,35878
603,Coimbra,pop-residente,146060,145544,144932,144301,143589,141360,139151,136964,135592,134578
604,Condeixa-a-Nova,pop-residente,16373,16588,16767,16948,17109,17234,17320,17371,17342,17409
605,Figueira da Foz,pop-residente,62779,62622,62520,62395,62263,61918,61505,61076,60621,60415
606,Góis,pop-residente,4525,4478,4412,4354,4272,4187,4120,4079,4016,3985
607,Lousã,pop-residente,16927,17150,17306,17468,17619,17549,17439,17331,17236,17231
608,Mira,pop-residente,12679,12628,12601,12552,12497,12410,12324,12260,12162,12110
609,Miranda do Corvo,pop-residente,13163,13163,13161,13165,13131,13094,13048,12984,12905,12861
610,Montemor-o-Velho,pop-residente,25903,25941,26038,26121,26207,26138,26048,25911,25736,25678
611,Oliveira do Hospital,pop-residente,21469,21361,21238,21085,20900,20722,20519,20294,20092,19984
612,Pampilhosa da Serra,pop-residente,4832,4756,4668,4589,4507,4430,4314,4257,4197,4143
613,Penacova,pop-residente,15925,15785,15628,15463,15286,15091,14887,14678,14506,14399
614,Penela,pop-residente,6229,6168,6105,6050,5995,5910,5821,5734,5657,5612
615,Soure,pop-residente,20047,19865,19665,19511,19298,19033,18740,18499,18231,18027
616,Tábua,pop-residente,12360,12288,12259,12190,12113,12012,11931,11855,11757,11726
617,Vila Nova de Poiares,pop-residente,7216,7216,7251,7270,7289,7266,7207,7141,7083,7055
701,Alandroal,pop-residente,6188,6122,6028,5949,5869,5787,5687,5580,5450,5357
702,Arraiolos,pop-residente,7532,7490,7457,7403,7372,7373,7341,7302,7203,7107
703,Borba,pop-residente,7550,7523,7455,7413,7348,7317,7245,7230,7121,7034
