dico,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1401,lic-geral,61,61,61,61,61,61,61,61,61,61,61,61
1401,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1401,max-lic-geral,73,73,73,73,73,73,73,73,73,73,73,73
1401,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
101,lic-geral,39,39,39,39,39,39,39,39,39,39,39,39
101,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
101,max-lic-geral,39,39,39,39,39,39,39,39,39,39,39,39
101,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
901,lic-geral,14,14,14,14,14,14,14,14,14,14,14,14
901,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
901,max-lic-geral,14,14,14,14,14,14,14,14,14,15,17,17
901,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
701,lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
701,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
701,max-lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
701,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
102,lic-geral,21,21,21,21,21,21,21,21,21,21,21,21
102,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
102,max-lic-geral,22,22,22,22,22,22,22,22,22,22,22,22
102,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
801,lic-geral,81,83,103,105,105,105,105,105,105,105,105,105
801,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
801,max-lic-geral,81,83,103,105,105,105,105,105,105,105,105,105
801,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1501,lic-geral,9,9,9,9,9,9,9,9,9,9,9,9
1501,lic-mob-reduzida,0,0,0,0,1,1,1,1,1,1,1,1
1501,max-lic-geral,9,9,9,9,9,9,9,9,9,9,9,9
1501,max-lic-mob-reduzida,0,0,0,0,1,1,1,1,1,1,1,1
1402,lic-geral,14,14,16,16,16,16,16,16,16,16,16,16
1402,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1402,max-lic-geral,23,23,23,23,23,23,23,23,23,23,23,23
1402,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1001,lic-geral,61,61,61,61,61,61,61,61,61,61,59,59
1001,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1001,max-lic-geral,74,74,74,74,74,74,74,74,74,74,74,74
1001,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1502,lic-geral,7,7,7,7,7,7,7,7,7,7,7,7
1502,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1502,max-lic-geral,7,7,7,7,7,7,7,7,7,7,7,7
1502,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
802,lic-geral,9,9,9,9,9,9,9,9,9,9,9,9
802,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
802,max-lic-geral,9,9,9,9,9,9,9,9,9,9,9,9
802,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1101,lic-geral,37,37,37,38,38,38,38,38,38,38,38,38
1101,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1101,max-lic-geral,50,50,50,50,50,50,50,50,50,50,50,50
1101,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
401,lic-geral,14,14,14,14,14,14,14,14,14,14,13,13
401,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
401,max-lic-geral,14,14,14,14,14,14,14,14,14,14,14,14
401,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1701,lic-geral,37,37,37,37,37,37,37,37,37,37,37,33
1701,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1701,max-lic-geral,37,37,37,37,37,37,37,37,37,37,37,37
1701,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
803,lic-geral,8,8,8,8,8,8,8,8,8,8,8,8
803,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
803,max-lic-geral,11,11,11,11,11,11,11,11,11,11,11,11
803,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
201,lic-geral,9,9,10,10,10,10,10,10,10,10,10,10
201,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
201,max-lic-geral,11,11,11,11,11,11,11,11,11,11,11,11
201,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1503,lic-geral,93,93,93,93,93,93,93,93,93,93,93,93
1503,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,4,4,4
1503,max-lic-geral,100,100,100,100,100,100,100,100,100,100,100,100
1503,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,4,4,4
902,lic-geral,23,23,23,23,23,23,22,22,22,22,22,22
902,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
902,max-lic-geral,23,23,23,23,23,23,22,22,22,22,22,22
902,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1403,lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
1403,lic-mob-reduzida,0,1,1,1,1,1,1,1,1,1,1,1
1403,max-lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
1403,max-lic-mob-reduzida,0,1,1,1,1,1,1,1,1,1,1,1
202,lic-geral,7,7,7,7,7,7,7,7,7,7,7,7
202,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
202,max-lic-geral,15,15,15,15,15,15,15,15,15,15,15,15
202,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1404,lic-geral,5,5,5,5,5,5,5,5,5,5,5,5
1404,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1404,max-lic-geral,5,5,5,5,5,5,5,5,5,5,5,5
1404,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1201,lic-geral,8,8,8,8,8,8,8,8,8,8,8,8
1201,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1201,max-lic-geral,11,11,11,11,11,11,11,11,11,11,11,11
1201,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1002,lic-geral,18,18,18,18,18,18,18,18,18,18,18,18
1002,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1002,max-lic-geral,18,18,18,18,18,18,18,18,18,18,18,18
1002,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
203,lic-geral,2,2,2,2,2,2,2,2,2,2,2,2
203,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
203,max-lic-geral,4,4,4,4,4,4,4,4,4,4,4,4
203,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1115,lic-geral,119,119,119,119,119,119,119,119,119,119,119,119
1115,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1115,max-lic-geral,122,122,122,122,122,122,122,122,122,122,122,122
1115,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1301,lic-geral,51,51,51,51,51,51,51,51,51,51,51,51
1301,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1301,max-lic-geral,60,60,60,60,60,60,60,60,60,60,60,60
1301,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
301,lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
301,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
301,max-lic-geral,10,10,10,10,10,10,10,10,10,10,10,10
301,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
103,lic-geral,18,18,18,18,18,18,18,18,18,18,18,18
103,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
103,max-lic-geral,18,18,18,18,18,18,18,18,18,18,18,18
103,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
4301,lic-geral,77,77,77,71,70,69,65,64,60,57,55,52
4301,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
4301,max-lic-geral,105,105,105,105,105,105,69,69,69,69,69,69
4301,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1003,lic-geral,24,24,24,24,24,24,24,24,24,24,24,24
1003,lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
1003,max-lic-geral,27,27,27,27,27,27,27,27,27,27,27,27
1003,max-lic-mob-reduzida,0,0,0,0,0,0,0,0,0,0,0,0
